Amount.Requested,Loan.Amount,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Score,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.,Employment.Length,Intercept
90748,16000,8,36,credit_card,0.12,CA,MORTGAGE,8416.67,695,14,21913,1,5 years,1
42319,10000,13,36,debt_consolidation,0.04,CA,MORTGAGE,6666.67,695,8,7967,1,3 years,1
81914,5000,10,36,debt_consolidation,0.25,AL,MORTGAGE,6250,700,9,33705,0,6 years,1
97954,4375,19,36,credit_card,0.09,CA,RENT,2916.67,670,9,6944,2,6 years,1
41074,8500,6,36,home_improvement,0.12,MO,MORTGAGE,6100,745,17,6370,0,10+ years,1
30600,12000,17,60,small_business,0.15,OH,MORTGAGE,7500,675,14,28589,2,3 years,1
4909,6200,9,36,other,0.19,WI,RENT,5000,740,17,9367,0,1 year,1
63340,7000,18,36,debt_consolidation,0.19,AR,MORTGAGE,2000,660,10,7315,2,1 year,1
35313,20800,13,60,debt_consolidation,0.07,GA,MORTGAGE,6541.67,730,9,13197,0,1 year,1
45225,19200,13,60,other,0.03,IL,MORTGAGE,8333.33,745,14,50625,3,2 years,1
98090,22000,16,60,debt_consolidation,0.21,KY,MORTGAGE,5416.67,700,9,10267,1,10+ years,1
71142,15000,19,36,debt_consolidation,0.25,AZ,RENT,6000,675,12,12162,0,1 year,1
5282,7000,19,36,debt_consolidation,0.17,NJ,RENT,5000,665,11,13859,0,3 years,1
52333,20000,9,36,credit_card,0.17,CO,RENT,4916.67,730,10,14952,2,4 years,1
15274,2000,6,36,moving,0.18,WA,RENT,5733.58,745,9,21998,0,3 years,1
32037,18000,11,60,major_purchase,0.15,OH,MORTGAGE,4000,755,9,6718,0,10+ years,1
6528,20800,11,36,home_improvement,0.22,CA,OWN,11666.67,790,6,682,1,10+ years,1
10487,9000,8,36,debt_consolidation,0.15,MA,MORTGAGE,5708.33,725,9,12217,0,7 years,1
64690,6000,14,36,credit_card,0.23,UT,RENT,2666.67,670,18,5955,0,10+ years,1
66605,5000,16,36,debt_consolidation,0.34,CA,RENT,3750,665,18,5414,3,3 years,1
18512,12000,15,60,credit_card,0.22,CA,RENT,4186,685,9,9398,0,3 years,1
1173,7000,8,36,credit_card,0.06,AZ,MORTGAGE,7583.33,750,9,21135,0,10+ years,1
22150,6000,10,36,major_purchase,0.09,FL,MORTGAGE,15416.67,715,9,105730,1,10+ years,1
104008,17000,14,36,debt_consolidation,0.18,TX,MORTGAGE,9166.67,700,14,16230,4,3 years,1
4665,12000,9,36,credit_card,0.19,TX,RENT,4750,750,13,25577,1,4 years,1
43053,16350,8,36,credit_card,0.25,MN,OWN,4541.67,730,7,25731,0,9 years,1
59192,20000,8,36,debt_consolidation,0.2,TX,MORTGAGE,4625,755,14,31335,1,10+ years,1
80538,12300,12,36,debt_consolidation,0.1,CA,RENT,6583.33,690,15,12450,0,1 year,1
78519,4800,13,36,moving,0.05,TX,RENT,2666.67,690,3,7911,0,< 1 year,1
48236,14500,8,36,credit_card,0.12,IL,RENT,4500,735,8,16398,0,6 years,1
51833,4200,9,36,debt_consolidation,0.1,CA,MORTGAGE,2254,700,7,4490,0,n/a,1
69446,22250,14,36,credit_card,0.32,MN,MORTGAGE,6583.33,690,18,44868,0,10+ years,1
18161,8000,14,36,home_improvement,0.08,IL,RENT,25000,675,6,28579,1,8 years,1
78856,8325,18,36,debt_consolidation,0.21,MO,RENT,2000,665,7,7676,0,< 1 year,1
48412,14000,13,36,debt_consolidation,0.08,CA,OWN,10416.67,730,4,4776,0,7 years,1
60192,9000,10,36,debt_consolidation,0.04,MD,MORTGAGE,6000,705,6,5659,0,7 years,1
97275,16000,13,36,credit_card,0.18,GA,MORTGAGE,6083.33,680,13,15148,0,2 years,1
103218,15200,11,36,credit_card,0.15,AZ,MORTGAGE,7916.67,760,7,217827,2,6 years,1
39722,24000,11,36,debt_consolidation,0.15,CA,RENT,3750,725,5,24708,0,10+ years,1
54880,16450,15,36,debt_consolidation,0.12,OH,MORTGAGE,6666.67,685,8,12697,3,9 years,1
81508,7500,12,36,home_improvement,0.27,NH,MORTGAGE,5000,710,8,9047,1,10+ years,1
98671,4750,22,36,debt_consolidation,0.24,UT,RENT,1333.33,665,9,4752,2,< 1 year,1
80765,6500,8,36,debt_consolidation,0.13,AR,RENT,6750,720,17,33229,0,8 years,1
103835,5500,19,60,debt_consolidation,0.18,NY,RENT,1750,660,6,4492,6,2 years,1
59041,9600,6,36,home_improvement,0.08,AL,MORTGAGE,6250,750,7,765,0,< 1 year,1
62747,12000,12,36,major_purchase,0.31,NY,OWN,4166.67,710,21,28703,2,3 years,1
34051,2000,8,36,other,0.17,CA,RENT,1500,730,5,2925,0,4 years,1
99360,18000,25,60,moving,0.15,VT,RENT,4000,665,10,7377,3,8 years,1
79126,5825,12,36,home_improvement,0.04,AR,OWN,3750,690,4,5643,0,1 year,1
103249,2500,15,36,home_improvement,0.23,VA,RENT,2530,670,7,5276,6,< 1 year,1
43700,7200,20,60,other,0.02,NY,RENT,5500,660,13,2130,0,9 years,1
83155,8000,14,36,other,0.12,MD,RENT,3941.58,670,15,9660,0,2 years,1
16446,25000,21,60,home_improvement,0.19,TX,MORTGAGE,6000,665,17,12757,2,10+ years,1
84110,2500,14,36,medical,0.21,NY,RENT,2666.67,665,9,15787,0,n/a,1
2807,20000,13,36,home_improvement,0.01,MI,MORTGAGE,3500,750,6,1954,5,2 years,1
94386,6250,13,36,debt_consolidation,0.29,CT,RENT,1779.17,720,19,7455,1,3 years,1
49074,12375,14,36,debt_consolidation,0.22,KS,MORTGAGE,2083.33,680,8,12226,0,3 years,1
88558,18000,10,36,debt_consolidation,0.17,NY,MORTGAGE,6666.67,685,16,19850,1,6 years,1
31714,3300,7,36,other,0.2,IL,RENT,3333.33,760,10,0,2,1 year,1
68991,21000,18,60,other,0.16,TX,MORTGAGE,8833.33,700,11,29293,0,1 year,1
75034,24575,16,36,debt_consolidation,0.2,GA,MORTGAGE,5250,695,8,20858,2,10+ years,1
4532,5000,8,36,other,0.14,OH,RENT,5166.67,750,8,15489,1,10+ years,1
67649,20000,16,36,debt_consolidation,0.24,MI,MORTGAGE,5833.33,680,14,12696,1,< 1 year,1
34983,13250,7,36,debt_consolidation,0.29,IL,MORTGAGE,5750,750,12,7174,3,8 years,1
4168,10000,9,36,major_purchase,0.03,PA,MORTGAGE,10167,790,9,16,3,10+ years,1
13020,20000,11,36,debt_consolidation,0.11,NY,RENT,8416.67,740,10,12283,0,3 years,1
28402,10000,8,36,debt_consolidation,0.14,FL,MORTGAGE,4166.67,715,8,8455,0,10+ years,1
82112,12000,12,36,debt_consolidation,0.15,FL,MORTGAGE,5000,710,11,13235,2,2 years,1
74368,8000,8,36,home_improvement,0.13,IL,MORTGAGE,3500,725,8,6834,2,5 years,1
5838,11000,9,36,credit_card,0.22,AK,MORTGAGE,4200,760,6,8694,4,7 years,1
24085,12500,7,36,debt_consolidation,0.14,MD,RENT,8237.5,730,15,13261,0,6 years,1
102519,7500,11,36,credit_card,0.11,AL,MORTGAGE,3750,685,15,5148,7,6 years,1
85220,4825,10,36,debt_consolidation,0.15,UT,RENT,2400,705,14,6109,1,1 year,1
29422,7550,17,36,other,0.22,AL,RENT,2880,670,2,1989,1,8 years,1
12751,8000,14,36,other,0.2,NY,RENT,4000,675,7,2082,0,4 years,1
96028,6000,14,36,debt_consolidation,0.16,KS,RENT,5083.33,670,11,10373,0,4 years,1
104202,8000,16,60,major_purchase,0.02,IL,RENT,5291.67,700,4,1252,6,5 years,1
10096,3000,15,36,debt_consolidation,0.24,IL,MORTGAGE,5000,665,6,5527,1,5 years,1
51445,8000,16,36,debt_consolidation,0.16,NY,RENT,3750,665,8,7374,1,6 years,1
30184,8400,6,36,credit_card,0.09,TX,OWN,3000,750,6,6215,0,2 years,1
48402,35000,15,36,medical,0.12,MA,MORTGAGE,14166.67,720,7,103354,0,8 years,1
50781,15000,8,36,credit_card,0.22,NY,OWN,5000,730,8,21555,0,2 years,1
8378,7500,11,36,home_improvement,0.08,TX,MORTGAGE,7083.33,800,9,2245,7,8 years,1
16672,24000,10,60,debt_consolidation,0.17,DC,RENT,7695.08,805,6,1502,0,9 years,1
56643,21000,21,60,debt_consolidation,0.18,NY,MORTGAGE,8083.33,680,11,31080,2,5 years,1
65889,6000,8,36,debt_consolidation,0.09,CA,RENT,8315.67,730,8,6239,0,2 years,1
18439,4500,7,36,major_purchase,0.01,MD,MORTGAGE,65000,725,7,3015,4,7 years,1
79217,29000,18,36,debt_consolidation,0.16,MA,RENT,7666.67,695,11,23319,0,2 years,1
83672,20000,15,36,debt_consolidation,0.27,CA,RENT,5250,690,11,11343,1,6 years,1
97016,7000,10,36,debt_consolidation,0.11,IL,MORTGAGE,4341.67,695,11,13638,0,7 years,1
16867,5000,10,36,other,0.01,NJ,RENT,2916.67,715,2,165,2,3 years,1
73664,6000,17,36,debt_consolidation,0.07,IL,MORTGAGE,4025.67,665,6,6652,2,5 years,1
42222,10000,15,36,wedding,0.04,IL,RENT,4480,670,9,7614,2,1 year,1
24026,3200,17,36,other,0.01,AR,RENT,2917,665,4,1427,1,< 1 year,1
68139,23000,18,36,debt_consolidation,0.26,MD,MORTGAGE,6625,685,17,19870,1,3 years,1
101715,5000,12,36,other,0.1,NY,RENT,3416.67,670,17,15301,7,1 year,1
32974,3000,13,36,debt_consolidation,0.03,CA,RENT,2083.33,715,3,844,0,3 years,1
19091,12000,11,60,debt_consolidation,0.18,VA,RENT,3500,715,11,18808,0,5 years,1
57072,20000,14,60,debt_consolidation,0.31,NY,RENT,4166.67,720,9,8810,0,6 years,1
82788,1200,16,36,debt_consolidation,0.27,MI,RENT,2166.67,665,9,9076,1,3 years,1
33093,8000,7,36,credit_card,0.05,FL,MORTGAGE,3000,780,5,6084,1,n/a,1
28534,10000,16,60,credit_card,0.18,IL,MORTGAGE,5416.67,705,10,41329,0,10+ years,1
